id,module,topic,term,definition,priority
1,Module 1 — Networking Today,1.1 Networks Affect Our Lives,Networks Connect Us,"In today’s world, through the use of networks, we are connected like never before.",MEDIUM
2,Module 1 — Networking Today,1.1 Networks Affect Our Lives,Human network,Human network,LOW
3,Module 1 — Networking Today,1.2 Network Components,Host / End device,Every computer on a network is called a host or end device.,HIGH
4,Module 1 — Networking Today,1.2 Network Components,Server,Servers are computers that provide information to end devices:,HIGH
5,Module 1 — Networking Today,1.2 Network Components,Client,Clients are computers that send requests to the servers to retrieve information:,HIGH
6,Module 1 — Networking Today,1.2 Network Components,Peer-to-Peer Network,It is possible to have a device be a client and a server in a Peer-to-Peer Network. This type of network design is only recommended for very small networks.,HIGH
7,Module 1 — Networking Today,1.2 Network Components,End device,"An end device is where a message originates from or where it is received. Data originates with an end device, flows through the network, and arrives at an end device.",HIGH
8,Module 1 — Networking Today,1.2 Network Components,Intermediary device,"An intermediary device interconnects end devices. Examples include switches, wireless access points, routers, and firewalls.",HIGH
9,Module 1 — Networking Today,1.2 Network Components,Network media,Communication across a network is carried through a medium which allows a message to travel from source to destination.,HIGH
10,Module 1 — Networking Today,1.2 Network Components,Email server,Email server runs email server software. Clients use client software to access email.,MEDIUM
11,Module 1 — Networking Today,1.2 Network Components,Web server,Web server runs web server software. Clients use browser software to access web pages.,MEDIUM
12,Module 1 — Networking Today,1.2 Network Components,File server,File server stores corporate and user files. The client devices access these files.,MEDIUM
13,Module 1 — Networking Today,1.2 Network Components,Metal wires within cables,Uses electrical impulses.,MEDIUM
14,Module 1 — Networking Today,1.2 Network Components,Glass or plastic fibers within cables (fiber-optic cable),Uses pulses of light.,MEDIUM
15,Module 1 — Networking Today,1.2 Network Components,Wireless transmission,Uses modulation of specific frequencies of electromagnetic waves.,MEDIUM
16,Module 1 — Networking Today,1.3 Network Representations and Topologies,Network diagram / topology diagram,"Network diagrams, often called topology diagrams, use symbols to represent devices within the network.",HIGH
17,Module 1 — Networking Today,1.3 Network Representations and Topologies,Physical topology diagram,Physical topology diagrams illustrate the physical location of intermediary devices and cable installation.,HIGH
18,Module 1 — Networking Today,1.3 Network Representations and Topologies,Logical topology diagram,"Logical topology diagrams illustrate devices, ports, and the addressing scheme of the network.",HIGH
19,Module 1 — Networking Today,1.3 Network Representations and Topologies,Network Interface Card (NIC),Network Interface Card (NIC),MEDIUM
20,Module 1 — Networking Today,1.3 Network Representations and Topologies,Physical Port,Physical Port,MEDIUM
21,Module 1 — Networking Today,1.3 Network Representations and Topologies,Interface,Interface,MEDIUM
22,Module 1 — Networking Today,1.4 Common Types of Networks,LAN,A LAN is a network infrastructure that spans a small geographical area.,HIGH
23,Module 1 — Networking Today,1.4 Common Types of Networks,WAN,A WAN is a network infrastructure that spans a wide geographical area.,HIGH
24,Module 1 — Networking Today,1.4 Common Types of Networks,Internet,The internet is a worldwide collection of interconnected LANs and WANs.,HIGH
25,Module 1 — Networking Today,1.4 Common Types of Networks,Small Office/Home Office (SOHO),enables computer within a home or remote office to connect to a corporate network,MEDIUM
26,Module 1 — Networking Today,1.4 Common Types of Networks,LAN administration,Administered by a single organization or individual.,MEDIUM
27,Module 1 — Networking Today,1.4 Common Types of Networks,WAN administration,Typically administered by one or more service providers.,MEDIUM
28,Module 1 — Networking Today,1.4 Common Types of Networks,Small Home Network,connect a few computers to each other and the Internet,LOW
29,Module 1 — Networking Today,1.4 Common Types of Networks,Medium to Large Networks,many locations with hundreds or thousands of interconnected computers,LOW
30,Module 1 — Networking Today,1.4 Common Types of Networks,World Wide Networks,connects hundreds of millions of computers worldwide – such as the internet,LOW
31,Module 1 — Networking Today,1.5 Internet Connections,Converged network,"Converged data networks carry multiple services on one link including: data, voice, video.",HIGH
32,Module 1 — Networking Today,1.5 Internet Connections,Cable,"high bandwidth, always on, internet offered by cable television service providers.",MEDIUM
33,Module 1 — Networking Today,1.5 Internet Connections,DSL,"high bandwidth, always on, internet connection that runs over a telephone line.",MEDIUM
34,Module 1 — Networking Today,1.5 Internet Connections,Cellular,uses a cell phone network to connect to the internet.,MEDIUM
35,Module 1 — Networking Today,1.5 Internet Connections,Satellite,major benefit to rural areas without Internet Service Providers.,MEDIUM
36,Module 1 — Networking Today,1.5 Internet Connections,Dedicated Leased Line,These are reserved circuits within the service provider’s network that connect distant offices with private voice and/or data networking.,MEDIUM
37,Module 1 — Networking Today,1.5 Internet Connections,Ethernet WAN,This extends LAN access technology into the WAN.,MEDIUM
38,Module 1 — Networking Today,1.5 Internet Connections,Dial-up telephone,"an inexpensive, low bandwidth option using a modem.",LOW
39,Module 1 — Networking Today,1.6 Reliable Networks,Network Architecture,Network Architecture refers to the technologies that support the infrastructure that moves data across the network.,HIGH
40,Module 1 — Networking Today,1.6 Reliable Networks,Fault Tolerance,Fault Tolerance,HIGH
41,Module 1 — Networking Today,1.6 Reliable Networks,Scalability,Scalability,HIGH
42,Module 1 — Networking Today,1.6 Reliable Networks,Quality of Service (QoS),Quality of Service (QoS),HIGH
43,Module 1 — Networking Today,1.6 Reliable Networks,Security,Security,HIGH
44,Module 1 — Networking Today,1.7 Network Trends,Bring Your Own Device (BYOD),allows users to use their own devices to access the network.,HIGH
45,Module 1 — Networking Today,1.7 Network Trends,Cloud computing,"allows users to access applications, services, and resources over the network.",HIGH
46,Module 1 — Networking Today,1.7 Network Trends,Online collaboration,allows people to work together using network-based tools and services.,MEDIUM
47,Module 1 — Networking Today,1.7 Network Trends,Video communications,allows people to communicate using video over networks.,MEDIUM
48,Module 1 — Networking Today,1.7 Network Trends,Powerline networking,can allow devices to connect to a LAN where data network cables or wireless communications are not a viable option.,MEDIUM
49,Module 1 — Networking Today,1.7 Network Trends,Wireless Internet Service Provider (WISP),is an ISP that connects subscribers to designated access points or hotspots.,MEDIUM
50,Module 1 — Networking Today,1.8 Network Security,Network security,Network security is an integral part of networking regardless of the size of the network.,HIGH
51,Module 1 — Networking Today,1.8 Network Security,External threats,"Viruses, worms, and Trojan horses; Spyware and adware; Zero-day attacks; Threat Actor attacks; Denial of service attacks; Data interception and theft; Identity theft",HIGH
52,Module 1 — Networking Today,1.8 Network Security,Internal threats,lost or stolen devices; accidental misuse by employees; malicious employees,HIGH
53,Module 1 — Networking Today,1.8 Network Security,Firewall filtering,used to block unauthorized access to the network.,HIGH
54,Module 1 — Networking Today,1.8 Network Security,Access control lists (ACL),Access control lists (ACL),HIGH
55,Module 1 — Networking Today,1.8 Network Security,Intrusion prevention systems (IPS),Intrusion prevention systems (IPS),HIGH
56,Module 1 — Networking Today,1.8 Network Security,Virtual private networks (VPN),Virtual private networks (VPN),HIGH
57,Module 1 — Networking Today,1.9 The IT Professional,CCNA,The Cisco Certified Network Associate (CCNA) certification demonstrates your knowledge of foundational technologies.,MEDIUM
58,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,Shell,The user interface that allows users to request specific tasks from the computer. These requests can be made either through the CLI or GUI interfaces.,HIGH
59,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,Kernel,Communicates between the hardware and software of a computer and manages how hardware resources are used to meet software requirements.,HIGH
60,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,GUI,"A GUI allows the user to interact with the system using an environment of graphical icons, menus, and windows.",HIGH
61,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,Console,"A physical management port used to access a device in order to provide maintenance, such as performing the initial configurations.",HIGH
62,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,Secure Shell (SSH),"Establishes a secure remote CLI connection to a device, through a virtual interface, over a network.",HIGH
63,Module 2 — Basic Switch and End Device Configuration,2.1 Cisco IOS Access,Telnet,Establishes an insecure remote CLI connection to a device over the network.,HIGH
